gameid,leagid,leagyear,weeknum,gamedate,awayid,atmloc,aconfid,aconf,adivid,adivname,homeid,htmloc,hconfid,hconf,hdivid,hdivname,ascore,hscore,spread,ou,totalou,favid,dogid,winteamid,loseteamid,isconf,isdiv,ot,so,lineoutcomeid,lineoutcome,totaloutcomeid,totaloutcome,siteloc,gametypeid
82024179,8,2024,3,2024-09-12 00:00:00,1104,Arizona State,12,Big 12 Conference,1,None,1128,Texas State,74,Sun Belt Conference,14,West,31,28,1.5,59.5,59.0,1104,1128,1104,1128,0,0,0,0,3,favorite win and cover,5,under,1,1
82024180,8,2024,3,2024-09-12 00:00:00,1237,Northwestern State,72,Southland Conference,1,None,1130,South Alabama,74,Sun Belt Conference,14,West,10,87,35.5,58.5,97.0,1130,1237,1130,1237,0,0,0,0,3,favorite win and cover,6,over,1,1
82024181,8,2024,3,2024-09-13 00:00:00,1084,University of Nevada, Las Vegas,48,Mountain West Conference,1,None,1031,Kansas,12,Big 12 Conference,1,None,23,20,7.5,57.5,43.0,1031,1084,1084,1031,0,0,0,0,2,dog win and cover,5,under,1,1
82024182,8,2024,3,2024-09-13 00:00:00,1101,Arizona,12,Big 12 Conference,1,None,1036,Kansas State,12,Big 12 Conference,1,None,7,31,7.5,58.5,38.0,1036,1101,1036,1101,1,1,0,0,3,favorite win and cover,5,under,1,5
82024183,8,2024,3,2024-09-14 00:00:00,1112,Alabama,67,Southeastern Conference,1,None,1049,Wisconsin,15,Big Ten Conference,1,None,42,10,16.5,50.5,52.0,1112,1049,1112,1049,0,0,0,0,3,favorite win and cover,6,over,1,1
82024184,8,2024,3,2024-09-14 00:00:00,1113,Louisiana State,67,Southeastern Conference,1,None,1110,South Carolina,67,Southeastern Conference,1,None,36,33,6.5,49.5,69.0,1113,1110,1113,1110,1,1,0,0,4,dog cover | favorite win,6,over,1,1
82024185,8,2024,3,2024-09-14 00:00:00,1076,Central Michigan,41,Mid-American Conference,1,None,1055,Illinois,15,Big Ten Conference,1,None,9,30,19.5,48.5,39.0,1055,1076,1055,1076,0,0,0,0,3,favorite win and cover,5,under,1,1
82024186,8,2024,3,2024-09-14 00:00:00,1129,Arkansas State,74,Sun Belt Conference,14,West,1042,Michigan,15,Big Ten Conference,1,None,18,28,22.5,47.5,46.0,1042,1129,1042,1129,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024187,8,2024,3,2024-09-14 00:00:00,1000,Memphis,8,American Athletic Conference,1,None,1015,Florida State,11,Atlantic Coast Conference,1,None,20,12,6.5,52.5,32.0,1015,1000,1000,1015,0,0,0,0,2,dog win and cover,5,under,1,1
82024188,8,2024,3,2024-09-14 00:00:00,1059,Louisiana Tech,21,Conference USA,1,None,1020,North Carolina State,11,Atlantic Coast Conference,1,None,20,30,21.5,49.5,50.0,1020,1059,1020,1059,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024189,8,2024,3,2024-09-14 00:00:00,1039,Cincinnati,12,Big 12 Conference,1,None,1069,Miami (OH),41,Mid-American Conference,1,None,27,16,3.5,46.5,43.0,1039,1069,1039,1069,0,0,0,0,3,favorite win and cover,5,under,1,1
82024190,8,2024,3,2024-09-14 00:00:00,1010,North Texas,8,American Athletic Conference,1,None,1033,Texas Tech,12,Big 12 Conference,1,None,21,66,9.5,69.5,87.0,1033,1010,1033,1010,0,0,0,0,3,favorite win and cover,6,over,1,1
82024191,8,2024,3,2024-09-14 00:00:00,1034,Oklahoma State,12,Big 12 Conference,1,None,1007,Tulsa,8,American Athletic Conference,1,None,45,10,19.5,62.5,55.0,1034,1007,1034,1007,0,0,0,0,3,favorite win and cover,5,under,1,1
82024192,8,2024,3,2024-09-14 00:00:00,1022,Boston College,11,Atlantic Coast Conference,1,None,1108,Missouri,67,Southeastern Conference,1,None,21,27,16.5,53.5,48.0,1108,1022,1108,1022,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024193,8,2024,3,2024-09-14 00:00:00,1068,Massachusetts,24,FBS Independents,1,None,1071,Buffalo,41,Mid-American Conference,1,None,3,34,4.5,45.5,37.0,1071,1068,1071,1068,0,0,0,0,3,favorite win and cover,5,under,1,1
82024194,8,2024,3,2024-09-14 00:00:00,1125,Coastal Carolina,74,Sun Belt Conference,5,East,1013,Temple,8,American Athletic Conference,1,None,28,20,17.5,51.5,48.0,1125,1013,1125,1013,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024195,8,2024,3,2024-09-14 00:00:00,1115,Texas A&M,67,Southeastern Conference,1,None,1107,Florida,67,Southeastern Conference,1,None,33,20,3.5,46.5,53.0,1115,1107,1115,1107,1,1,0,0,3,favorite win and cover,6,over,1,1
82024196,8,2024,3,2024-09-14 00:00:00,1001,Tulane,8,American Athletic Conference,1,None,1028,Oklahoma,67,Southeastern Conference,1,None,19,34,13.5,46.5,53.0,1028,1001,1028,1001,0,0,0,0,3,favorite win and cover,6,over,1,1
82024197,8,2024,3,2024-09-14 00:00:00,1246,Prairie View A&M,73,Southwestern Athletic Conference,14,West,1048,Michigan State,15,Big Ten Conference,1,None,0,40,40.5,50.5,40.0,1048,1246,1048,1246,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024198,8,2024,3,2024-09-14 00:00:00,1090,Nevada,48,Mountain West Conference,1,None,1052,Minnesota,15,Big Ten Conference,1,None,0,27,17.5,43.5,27.0,1052,1090,1052,1090,0,0,0,0,3,favorite win and cover,5,under,1,1
82024199,8,2024,3,2024-09-14 00:00:00,1094,Oregon,15,Big Ten Conference,1,None,1096,Oregon State,60,Pac-12 Conference,1,None,49,14,16.5,49.5,63.0,1094,1096,1094,1096,0,0,0,0,3,favorite win and cover,6,over,1,1
82024200,8,2024,3,2024-09-14 00:00:00,1099,Washington State,60,Pac-12 Conference,1,None,1095,Washington,15,Big Ten Conference,1,None,24,19,4.5,55.5,43.0,1095,1099,1099,1095,0,0,0,0,2,dog win and cover,5,under,2,1
82024201,8,2024,3,2024-09-14 00:00:00,1065,Notre Dame,24,FBS Independents,1,None,1054,Purdue,15,Big Ten Conference,1,None,66,7,9.5,45.5,73.0,1065,1054,1065,1054,0,0,0,0,3,favorite win and cover,6,over,1,1
82024202,8,2024,3,2024-09-14 00:00:00,1228,Virginia Millitary Institute,70,Southern Conference,1,None,1018,Georgia Tech,11,Atlantic Coast Conference,1,None,7,59,42.5,56.5,66.0,1018,1228,1018,1228,0,0,0,0,3,favorite win and cover,6,over,1,1
82024203,8,2024,3,2024-09-14 00:00:00,1080,Ball State,41,Mid-American Conference,1,None,1023,Miami,11,Atlantic Coast Conference,1,None,0,62,36.5,54.5,62.0,1023,1080,1023,1080,0,0,0,0,3,favorite win and cover,6,over,1,1
82024204,8,2024,3,2024-09-14 00:00:00,1029,West Virginia,12,Big 12 Conference,1,None,1026,Pittsburgh,11,Atlantic Coast Conference,1,None,34,38,1.5,63.5,72.0,1029,1026,1026,1029,0,0,0,0,2,dog win and cover,6,over,1,1
82024205,8,2024,3,2024-09-14 00:00:00,1183,Morgan State,42,Mid-Eastern Athletic Conference,1,None,1070,Ohio,41,Mid-American Conference,1,None,6,21,24.5,47.5,27.0,1070,1183,1070,1183,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024206,8,2024,3,2024-09-14 00:00:00,1126,Troy,74,Sun Belt Conference,14,West,1050,Iowa,15,Big Ten Conference,1,None,21,38,22.5,38.5,59.0,1050,1126,1050,1126,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024207,8,2024,3,2024-09-14 00:00:00,1124,Appalachian State,74,Sun Belt Conference,5,East,1012,East Carolina,8,American Athletic Conference,1,None,21,19,2.5,60.5,40.0,1124,1012,1124,1012,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024208,8,2024,3,2024-09-14 00:00:00,1008,University of Alabama at Birmingham,8,American Athletic Conference,1,None,1118,Arkansas,67,Southeastern Conference,1,None,27,37,24.5,60.5,64.0,1118,1008,1118,1008,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024209,8,2024,3,2024-09-14 00:00:00,1097,Utah,12,Big 12 Conference,1,None,1086,Utah State,48,Mountain West Conference,1,None,38,21,20.5,44.5,59.0,1097,1086,1097,1086,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024210,8,2024,3,2024-09-14 00:00:00,1067,Connecticut,24,FBS Independents,1,None,1017,Duke,11,Atlantic Coast Conference,1,None,21,26,16.5,47.5,47.0,1017,1067,1017,1067,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024211,8,2024,3,2024-09-14 00:00:00,1179,North Carolina Central,42,Mid-Eastern Athletic Conference,1,None,1016,North Carolina,11,Atlantic Coast Conference,1,None,10,45,37.5,55.5,55.0,1016,1179,1016,1179,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024212,8,2024,3,2024-09-14 00:00:00,1021,Virginia Tech,11,Atlantic Coast Conference,1,None,1122,Old Dominion,74,Sun Belt Conference,5,East,37,17,14.5,49.5,54.0,1021,1122,1021,1122,0,0,0,0,3,favorite win and cover,6,over,1,1
82024213,8,2024,3,2024-09-14 00:00:00,1064,Florida International,21,Conference USA,1,None,1003,Florida Atlantic,8,American Athletic Conference,1,None,20,38,5.5,43.5,58.0,1003,1064,1003,1064,0,0,0,0,3,favorite win and cover,6,over,1,1
82024214,8,2024,3,2024-09-14 00:00:00,1062,University of Texas at El Paso,21,Conference USA,1,None,1056,Liberty,21,Conference USA,1,None,10,28,23.5,57.5,38.0,1056,1062,1056,1062,1,1,0,0,4,dog cover | favorite win,5,under,1,1
82024215,8,2024,3,2024-09-14 00:00:00,1182,South Carolina State,42,Mid-Eastern Athletic Conference,1,None,1120,Georgia Southern,74,Sun Belt Conference,5,East,14,42,27.5,55.5,56.0,1120,1182,1120,1182,0,0,0,0,3,favorite win and cover,6,over,1,1
82024216,8,2024,3,2024-09-14 00:00:00,1209,Colgate,61,Patriot League,1,None,1073,Akron,41,Mid-American Conference,1,None,20,31,14.5,45.5,51.0,1073,1209,1073,1209,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024217,8,2024,3,2024-09-14 00:00:00,1149,Gardner-Webb,14,Big South-OVC Association,1,None,1011,University of North Carolina at Charlotte,8,American Athletic Conference,1,None,26,27,8.5,48.5,53.0,1011,1149,1011,1149,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024218,8,2024,3,2024-09-14 00:00:00,1114,Mississippi,67,Southeastern Conference,1,None,1025,Wake Forest,11,Atlantic Coast Conference,1,None,40,6,23.5,63.5,46.0,1114,1025,1114,1025,0,0,0,0,3,favorite win and cover,5,under,1,1
82024219,8,2024,3,2024-09-14 00:00:00,1244,Bethune-Cookman,73,Southwestern Athletic Conference,5,East,1079,Western Michigan,41,Mid-American Conference,1,None,31,59,32.5,51.5,90.0,1079,1244,1079,1244,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024220,8,2024,3,2024-09-14 00:00:00,1004,University of Texas San Antonio,8,American Athletic Conference,1,None,1030,Texas,67,Southeastern Conference,1,None,7,56,35.5,55.5,63.0,1030,1004,1030,1004,0,0,0,0,3,favorite win and cover,6,over,1,1
82024221,8,2024,3,2024-09-14 00:00:00,1111,Vanderbilt,67,Southeastern Conference,1,None,1123,Georgia State,74,Sun Belt Conference,5,East,32,36,10.5,46.5,68.0,1111,1123,1123,1111,0,0,0,0,2,dog win and cover,6,over,1,1
82024222,8,2024,3,2024-09-14 00:00:00,1058,Jacksonville State,21,Conference USA,1,None,1077,Eastern Michigan,41,Mid-American Conference,1,None,34,37,1.5,52.5,71.0,1077,1058,1077,1058,0,0,2,0,3,favorite win and cover,6,over,1,1
82024223,8,2024,3,2024-09-14 00:00:00,1170,Kennesaw State,21,Conference USA,1,None,1092,San Jose State,48,Mountain West Conference,1,None,10,31,19.5,43.5,41.0,1092,1170,1092,1170,0,0,0,0,3,favorite win and cover,5,under,1,1
82024224,8,2024,3,2024-09-14 00:00:00,1057,Western Kentucky,21,Conference USA,1,None,1061,Middle Tennessee State,21,Conference USA,1,None,49,21,7.5,54.5,70.0,1057,1061,1057,1061,1,1,0,0,3,favorite win and cover,6,over,1,1
82024225,8,2024,3,2024-09-14 00:00:00,1089,Hawaii,48,Mountain West Conference,1,None,1063,Sam Houston State,21,Conference USA,1,None,13,31,4.5,50.5,44.0,1063,1089,1063,1089,0,0,0,0,3,favorite win and cover,5,under,1,1
82024226,8,2024,3,2024-09-14 00:00:00,1005,South Florida,8,American Athletic Conference,1,None,1132,Southern Mississippi,74,Sun Belt Conference,14,West,49,24,11.5,57.5,73.0,1005,1132,1005,1132,0,0,0,0,3,favorite win and cover,6,over,1,1
82024227,8,2024,3,2024-09-14 00:00:00,1088,New Mexico,48,Mountain West Conference,1,None,1116,Auburn,67,Southeastern Conference,1,None,19,45,28.5,60.5,64.0,1116,1088,1116,1088,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024228,8,2024,3,2024-09-14 00:00:00,1105,Georgia,67,Southeastern Conference,1,None,1106,Kentucky,67,Southeastern Conference,1,None,13,12,24.5,45.5,25.0,1105,1106,1105,1106,1,1,0,0,4,dog cover | favorite win,5,under,1,1
82024229,8,2024,3,2024-09-14 00:00:00,1075,Toledo,41,Mid-American Conference,1,None,1117,Mississippi State,67,Southeastern Conference,1,None,41,17,12.5,59.5,58.0,1117,1075,1075,1117,0,0,0,0,2,dog win and cover,5,under,1,1
82024230,8,2024,3,2024-09-14 00:00:00,1047,Indiana,15,Big Ten Conference,1,None,1098,University of California, Los Angeles,15,Big Ten Conference,1,None,42,13,3.5,46.5,55.0,1098,1047,1047,1098,1,1,0,0,2,dog win and cover,6,over,1,1
82024231,8,2024,3,2024-09-14 00:00:00,1187,Northern Iowa,46,Missouri Valley Football Conference,1,None,1053,Nebraska,15,Big Ten Conference,1,None,3,34,27.5,47.5,37.0,1053,1187,1053,1187,0,0,0,0,3,favorite win and cover,5,under,1,1
82024232,8,2024,3,2024-09-14 00:00:00,1081,USAF,48,Mountain West Conference,1,None,1038,Baylor,12,Big 12 Conference,1,None,3,31,15.5,41.5,34.0,1038,1081,1038,1081,0,0,0,0,3,favorite win and cover,5,under,1,1
82024233,8,2024,3,2024-09-14 00:00:00,1100,Colorado,12,Big 12 Conference,1,None,1087,Colorado State,48,Mountain West Conference,1,None,28,9,7.5,58.5,37.0,1100,1087,1100,1087,0,0,0,0,3,favorite win and cover,5,under,1,1
82024234,8,2024,3,2024-09-14 00:00:00,1041,University of Central Florida,12,Big 12 Conference,1,None,1037,Texas Christian,12,Big 12 Conference,1,None,35,34,2.5,62.5,69.0,1041,1037,1041,1037,1,1,0,0,4,dog cover | favorite win,6,over,1,1
82024235,8,2024,3,2024-09-14 00:00:00,1152,Eastern Illinois,14,Big South-OVC Association,1,None,1051,Northwestern,15,Big Ten Conference,1,None,7,31,24.5,36.5,38.0,1051,1152,1051,1152,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024236,8,2024,3,2024-09-14 00:00:00,1074,Kent State,41,Mid-American Conference,1,None,1109,Tennessee,67,Southeastern Conference,1,None,0,71,49.5,62.5,71.0,1109,1074,1109,1074,0,0,0,0,3,favorite win and cover,6,over,1,1
82024237,8,2024,3,2024-09-14 00:00:00,1045,Maryland,15,Big Ten Conference,1,None,1027,Virginia,11,Atlantic Coast Conference,1,None,27,13,2.5,57.5,40.0,1045,1027,1045,1027,0,0,0,0,3,favorite win and cover,5,under,1,1
82024238,8,2024,3,2024-09-14 00:00:00,1006,Rice,8,American Athletic Conference,1,None,1040,Houston,12,Big 12 Conference,1,None,7,33,4.5,44.5,40.0,1040,1006,1040,1006,0,0,0,0,3,favorite win and cover,5,under,1,1
82024239,8,2024,3,2024-09-14 00:00:00,1035,Brigham Young,12,Big 12 Conference,1,None,1082,Wyoming,48,Mountain West Conference,1,None,34,14,10.5,39.5,48.0,1035,1082,1035,1082,0,0,0,0,3,favorite win and cover,6,over,1,1
82024240,8,2024,3,2024-09-14 00:00:00,1091,San Diego State,48,Mountain West Conference,1,None,1102,University of California, Berkeley,11,Atlantic Coast Conference,1,None,10,31,18.5,47.5,41.0,1102,1091,1102,1091,0,0,0,0,3,favorite win and cover,5,under,1,1
82024241,8,2024,3,2024-09-14 00:00:00,1060,New Mexico State,21,Conference USA,1,None,1085,Fresno State,48,Mountain West Conference,1,None,0,48,20.5,47.5,48.0,1085,1060,1085,1060,0,0,0,0,3,favorite win and cover,6,over,1,1
82024242,8,2024,4,2024-09-19 00:00:00,1130,South Alabama,74,Sun Belt Conference,14,West,1124,Appalachian State,74,Sun Belt Conference,5,East,48,14,7.5,64.5,62.0,1124,1130,1130,1124,1,0,0,0,2,dog win and cover,5,under,1,1
82024243,8,2024,4,2024-09-20 00:00:00,1103,Stanford,11,Atlantic Coast Conference,1,None,1024,Syracuse,11,Atlantic Coast Conference,1,None,26,24,8.5,57.5,50.0,1024,1103,1103,1024,1,1,0,0,2,dog win and cover,5,under,1,1
82024244,8,2024,4,2024-09-20 00:00:00,1055,Illinois,15,Big Ten Conference,1,None,1053,Nebraska,15,Big Ten Conference,1,None,31,24,8.5,43.5,55.0,1053,1055,1055,1053,1,1,1,0,2,dog win and cover,6,over,1,1
82024245,8,2024,4,2024-09-20 00:00:00,1092,San Jose State,48,Mountain West Conference,1,None,1099,Washington State,60,Pac-12 Conference,1,None,52,54,11.5,55.5,106.0,1099,1092,1099,1092,0,0,2,0,4,dog cover | favorite win,6,over,1,1
82024246,8,2024,4,2024-09-21 00:00:00,1118,Arkansas,67,Southeastern Conference,1,None,1116,Auburn,67,Southeastern Conference,1,None,24,14,3.5,58.5,38.0,1116,1118,1118,1116,1,1,0,0,2,dog win and cover,5,under,1,1
82024247,8,2024,4,2024-09-21 00:00:00,1098,University of California, Los Angeles,15,Big Ten Conference,1,None,1113,Louisiana State,67,Southeastern Conference,1,None,17,34,24.5,55.5,51.0,1113,1098,1113,1098,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024248,8,2024,4,2024-09-21 00:00:00,1111,Vanderbilt,67,Southeastern Conference,1,None,1108,Missouri,67,Southeastern Conference,1,None,27,30,21.5,52.5,57.0,1108,1111,1108,1111,1,1,2,0,4,dog cover | favorite win,6,over,1,1
82024249,8,2024,4,2024-09-21 00:00:00,1109,Tennessee,67,Southeastern Conference,1,None,1028,Oklahoma,67,Southeastern Conference,1,None,25,15,6.5,57.5,40.0,1109,1028,1109,1028,1,1,0,0,3,favorite win and cover,5,under,1,1
82024250,8,2024,4,2024-09-21 00:00:00,1073,Akron,41,Mid-American Conference,1,None,1110,South Carolina,67,Southeastern Conference,1,None,7,50,27.5,46.5,57.0,1110,1073,1110,1073,0,0,0,0,3,favorite win and cover,6,over,1,1
82024251,8,2024,4,2024-09-21 00:00:00,1011,University of North Carolina at Charlotte,8,American Athletic Conference,1,None,1047,Indiana,15,Big Ten Conference,1,None,14,52,28.5,48.5,66.0,1047,1011,1047,1011,0,0,0,0,3,favorite win and cover,6,over,1,1
82024252,8,2024,4,2024-09-21 00:00:00,1050,Iowa,15,Big Ten Conference,1,None,1052,Minnesota,15,Big Ten Conference,1,None,31,14,2.5,36.5,45.0,1050,1052,1050,1052,1,1,0,0,3,favorite win and cover,6,over,1,1
82024253,8,2024,4,2024-09-21 00:00:00,1158,Villanova,18,Coastal Athletic Association,1,None,1045,Maryland,15,Big Ten Conference,1,None,20,38,19.5,43.5,58.0,1045,1158,1045,1158,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024254,8,2024,4,2024-09-21 00:00:00,1048,Michigan State,15,Big Ten Conference,1,None,1022,Boston College,11,Atlantic Coast Conference,1,None,19,23,6.5,45.5,42.0,1022,1048,1022,1048,0,0,0,0,4,dog cover | favorite win,5,under,1,1
82024255,8,2024,4,2024-09-21 00:00:00,1051,Northwestern,15,Big Ten Conference,1,None,1095,Washington,15,Big Ten Conference,1,None,5,24,10.5,42.5,29.0,1095,1051,1095,1051,1,1,0,0,3,favorite win and cover,5,under,1,1
82024256,8,2024,4,2024-09-21 00:00:00,1121,Marshall,74,Sun Belt Conference,5,East,1044,Ohio State,15,Big Ten Conference,1,None,14,49,39.5,52.5,63.0,1044,1121,1044,1121,0,0,0,0,4,dog cover | favorite win,6,over,1,1
82024257,8,2024,4,2024-09-21 00:00:00,1074,Kent State,41,Mid-American Conference,1,None,1043,Pennsylvania State,15,Big Ten Conference,1,None,0,56,48.5,55.5,56.0,1043,1074,1043,1074,0,0,0,0,3,favorite win and cover,6,over,1,1
82024258,8,2024,4,2024-09-21 00:00:00,1046,Rutgers,15,Big Ten Conference,1,None,1021,Virginia Tech,11,Atlantic Coast Conference,1,None,26,23,3.5,44.5,49.0,1021,1046,1046,1021,0,0,0,0,2,dog win and cover,6,over,1,1
82024259,8,2024,4,2024-09-21 00:00:00,1102,University of California, Berkeley,11,Atlantic Coast Conference,1,None,1015,Florida State,11,Atlantic Coast Conference,1,None,9,14,2.5,44.5,23.0,1015,1102,1015,1102,1,1,0,0,3,favorite win and cover,5,under,1,1
82024260,8,2024,4,2024-09-21 00:00:00,1020,North Carolina State,11,Atlantic Coast Conference,1,None,1019,Clemson,11,Atlantic Coast Conference,1,None,35,59,20.5,46.5,94.0,1019,1020,1019,1020,1,1,0,0,3,favorite win and cover,6,over,1,1
82024261,8,2024,4,2024-09-21 00:00:00,1017,Duke,11,Atlantic Coast Conference,1,None,1061,Middle Tennessee State,21,Conference USA,1,None,45,17,14.5,50.5,62.0,1017,1061,1017,1061,0,0,0,0,3,favorite win and cover,6,over,1,1
82024262,8,2024,4,2024-09-21 00:00:00,1018,Georgia Tech,11,Atlantic Coast Conference,1,None,1014,Louisville,11,Atlantic Coast Conference,1,None,19,31,10.5,57.5,50.0,1014,1018,1014,1018,1,1,0,0,3,favorite win and cover,5,under,1,1
82024263,8,2024,4,2024-09-21 00:00:00,1023,Miami,11,Atlantic Coast Conference,1,None,1005,South Florida,8,American Athletic Conference,1,None,50,15,16.5,65.5,65.0,1023,1005,1023,1005,0,0,0,0,3,favorite win and cover,5,under,1,1
82024264,8,2024,4,2024-09-21 00:00:00,1119,James Madison,74,Sun Belt Conference,5,East,1016,North Carolina,11,Atlantic Coast Conference,1,None,70,50,10.5,47.5,120.0,1016,1119,1119,1016,0,0,0,0,2,dog win and cover,6,over,1,1
82024265,8,2024,4,2024-09-21 00:00:00,1037,Texas Christian,12,Big 12 Conference,1,None,1002,Southern Methodist,11,Atlantic Coast Conference,1,None,42,66,2.5,58.5,108.0,1037,1002,1002,1037,0,0,0,0,2,dog win and cover,6,over,1,1
82024266,8,2024,4,2024-09-21 00:00:00,1027,Virginia,11,Atlantic Coast Conference,1,None,1125,Coastal Carolina,74,Sun Belt Conference,5,East,43,24,3.5,54.5,67.0,1027,1125,1027,1125,0,0,0,0,3,favorite win and cover,6,over,1,1
82024267,8,2024,4,2024-09-21 00:00:00,1036,Kansas State,12,Big 12 Conference,1,None,1035,Brigham Young,12,Big 12 Conference,1,None,9,38,7.5,47.5,47.0,1036,1035,1035,1036,1,1,0,0,2,dog win and cover,5,under,1,1
82024268,8,2024,4,2024-09-21 00:00:00,1040,Houston,12,Big 12 Conference,1,None,1039,Cincinnati,12,Big 12 Conference,1,None,0,34,3.5,47.5,34.0,1039,1040,1039,1040,1,1,0,0,3,favorite win and cover,5,under,1,1
82024269,8,2024,4,2024-09-21 00:00:00,1038,Baylor,12,Big 12 Conference,1,None,1100,Colorado,12,Big 12 Conference,1,None,31,38,1.5,53.5,69.0,1100,1038,1100,1038,1,1,1,0,3,favorite win and cover,6,over,1,1
82024270,8,2024,4,2024-09-21 00:00:00,1097,Utah,12,Big 12 Conference,1,None,1034,Oklahoma State,12,Big 12 Conference,1,None,22,19,1.5,54.5,41.0,1097,1034,1097,1034,1,1,0,0,3,favorite win and cover,5,under,1,1
82024271,8,2024,4,2024-09-21 00:00:00,1104,Arizona State,12,Big 12 Conference,1,None,1033,Texas Tech,12,Big 12 Conference,1,None,22,30,3.5,58.5,52.0,1033,1104,1033,1104,1,1,0,0,3,favorite win and cover,5,under,1,1
82024272,8,2024,4,2024-09-21 00:00:00,1031,Kansas,12,Big 12 Conference,1,None,1029,West Virginia,12,Big 12 Conference,1,None,28,32,2.5,56.5,60.0,1029,1031,1029,1031,1,1,0,0,3,favorite win and cover,6,over,1,1
82024273,8,2024,4,2024-09-21 00:00:00,1012,East Carolina,8,American Athletic Conference,1,None,1056,Liberty,21,Conference USA,1,None,24,35,7.5,53.5,59.0,1056,1012,1056,1012,0,0,0,0,3,favorite win and cover,6,over,1,1
82024274,8,2024,4,2024-09-21 00:00:00,1132,Southern Mississippi,74,Sun Belt Conference,14,West,1058,Jacksonville State,21,Conference USA,1,None,7,44,5.5,60.5,51.0,1058,1132,1058,1132,0,0,0,0,3,favorite win and cover,5,under,1,1
82024275,8,2024,4,2024-09-21 00:00:00,1007,Tulsa,8,American Athletic Conference,1,None,1059,Louisiana Tech,21,Conference USA,1,None,23,20,3.5,57.5,43.0,1059,1007,1007,1059,0,0,1,0,2,dog win and cover,5,under,1,1
82024276,8,2024,4,2024-09-21 00:00:00,1060,New Mexico State,21,Conference USA,1,None,1063,Sam Houston State,21,Conference USA,1,None,11,31,16.5,44.5,42.0,1063,1060,1063,1060,1,1,0,0,3,favorite win and cover,5,under,1,1
82024277,8,2024,4,2024-09-21 00:00:00,1075,Toledo,41,Mid-American Conference,1,None,1057,Western Kentucky,21,Conference USA,1,None,21,26,2.5,62.5,47.0,1057,1075,1057,1075,0,0,0,0,3,favorite win and cover,5,under,1,1
82024278,8,2024,4,2024-09-21 00:00:00,1138,Eastern Washington,13,Big Sky Conference,1,None,1090,Nevada,48,Mountain West Conference,1,None,16,49,9.5,55.5,65.0,1090,1138,1090,1138,0,0,0,0,3,favorite win and cover,6,over,1,1
82024279,8,2024,4,2024-09-21 00:00:00,1086,Utah State,48,Mountain West Conference,1,None,1013,Temple,8,American Athletic Conference,1,None,29,45,6.5,53.5,74.0,1086,1013,1013,1086,0,0,0,0,2,dog win and cover,6,over,1,1
82024280,8,2024,4,2024-09-21 00:00:00,1082,Wyoming,48,Mountain West Conference,1,None,1010,North Texas,8,American Athletic Conference,1,None,17,44,8.5,55.5,61.0,1010,1082,1010,1082,0,0,0,0,3,favorite win and cover,6,over,1,1
82024281,8,2024,4,2024-09-21 00:00:00,1001,Tulane,8,American Athletic Conference,1,None,1127,University of Louisianna at Lafayette,74,Sun Belt Conference,14,West,41,33,3.5,54.5,74.0,1001,1127,1001,1127,0,0,0,0,3,favorite win and cover,6,over,1,1
82024282,8,2024,4,2024-09-21 00:00:00,1080,Ball State,41,Mid-American Conference,1,None,1076,Central Michigan,41,Mid-American Conference,1,None,34,37,6.5,53.5,71.0,1076,1080,1076,1080,1,1,0,0,4,dog cover | favorite win,6,over,1,1
82024283,8,2024,4,2024-09-21 00:00:00,1071,Buffalo,41,Mid-American Conference,1,None,1078,Northern Illinois,41,Mid-American Conference,1,None,23,20,13.5,43.5,43.0,1078,1071,1071,1078,1,1,1,0,2,dog win and cover,5,under,1,1
82024284,8,2024,4,2024-09-21 00:00:00,1107,Florida,67,Southeastern Conference,1,None,1117,Mississippi State,67,Southeastern Conference,1,None,45,28,6.5,58.5,73.0,1107,1117,1107,1117,1,1,0,0,3,favorite win and cover,6,over,1,1
82024285,8,2024,4,2024-09-21 00:00:00,1006,Rice,8,American Athletic Conference,1,None,1066,Army West Point,8,American Athletic Conference,1,None,14,37,5.5,42.5,51.0,1066,1006,1066,1006,1,1,0,0,3,favorite win and cover,6,over,1,1
82024286,8,2024,4,2024-09-21 00:00:00,1070,Ohio,41,Mid-American Conference,1,None,1106,Kentucky,67,Southeastern Conference,1,None,6,41,19.5,42.5,47.0,1106,1070,1106,1070,0,0,0,0,3,favorite win and cover,6,over,1,1
